statemod_diversion,individual_diversion
45_ADC046, 4500562
45_ADC046, 4500619
45_ADC046, 4500629
45_ADC046, 4500641
45_ADC046, 4500670
45_ADC046, 4500713
45_ADC046, 4500751
45_ADC046, 4500766
45_ADC046, 4500768
45_ADC046, 4500835
45_ADC046, 4500870
45_ADC046, 4500925
45_ADC046, 4505166
45_ADC046, 4505310
45_ADC047, 3900789
45_ADC047, 4500523
45_ADC047, 4500538
45_ADC047, 4500541
45_ADC047, 4500567
45_ADC047, 4500611
45_ADC047, 4500636
45_ADC047, 4500640
45_ADC047, 4500645
45_ADC047, 4500689
45_ADC047, 4500694
45_ADC047, 4500711
45_ADC047, 4500712
45_ADC047, 4500730
45_ADC047, 4500772
45_ADC047, 4500903
45_ADC047, 4500948
45_ADC047, 4500949
45_ADC047, 4500950
45_ADC047, 4501072
45_ADC047, 4501073
45_ADC047, 4501133
45_ADC047, 4505309
45_ADC048, 3900509
45_ADC048, 3900544
45_ADC048, 3900549
45_ADC048, 3900558
45_ADC048, 3900565
45_ADC048, 3900594
45_ADC048, 3900617
45_ADC048, 3900643
45_ADC048, 3900698
45_ADC048, 3900989
45_ADC048, 4500511
45_ADC048, 4500570
45_ADC048, 4500588
45_ADC048, 4500595
45_ADC048, 4500625
45_ADC048, 4500633
45_ADC048, 4500662
45_ADC048, 4500674
45_ADC048, 4500691
45_ADC048, 4500706
45_ADC048, 4500708
45_ADC048, 4500714
45_ADC048, 4500721
45_ADC048, 4500732
45_ADC048, 4500744
45_ADC048, 4500758
45_ADC048, 4500792
45_ADC048, 4500796
45_ADC048, 4500808
45_ADC048, 4500902
45_ADC048, 4501048
45_ADC048, 4501122
45_ADC048, 7200742
50_ADC012, 5000515
50_ADC012, 5000516
50_ADC012, 5000518
50_ADC012, 5000519
50_ADC012, 5000523
50_ADC012, 5000530
50_ADC012, 5000533
50_ADC012, 5000534
50_ADC012, 5000535
50_ADC012, 5000565
50_ADC012, 5000592
50_ADC012, 5000594
50_ADC012, 5000604
50_ADC012, 5000608
50_ADC012, 5000609
50_ADC012, 5000625
50_ADC012, 5000639
50_ADC012, 5000644
50_ADC012, 5000645
50_ADC012, 5000649
50_ADC012, 5000650
50_ADC012, 5000661
50_ADC012, 5000662
50_ADC012, 5000663
50_ADC012, 5000664
50_ADC012, 5000667
50_ADC012, 5000732
50_ADC012, 5000733
50_ADC012, 5000742
50_ADC013, 5000501
50_ADC013, 5000503
50_ADC013, 5000504
50_ADC013, 5000505
50_ADC013, 5000506
50_ADC013, 5000544
50_ADC013, 5000545
50_ADC013, 5000550
50_ADC013, 5000603
50_ADC013, 5000615
50_ADC013, 5000624
50_ADC013, 5000674
50_ADC013, 5000681
50_ADC013, 5000683
50_ADC013, 5000687
50_ADC013, 5000688
50_ADC014, 5000659
50_ADC014, 5000500
50_ADC014, 5000511
50_ADC014, 5000513
50_ADC014, 5000514
50_ADC014, 5000531
50_ADC014, 5000563
50_ADC014, 5000564
50_ADC014, 5000577
50_ADC014, 5000580
50_ADC014, 5000581
50_ADC014, 5000583
50_ADC014, 5000584
50_ADC014, 5000599
50_ADC014, 5000610
50_ADC014, 5000611
50_ADC014, 5000638
50_ADC014, 5000652
50_ADC014, 5000658
50_ADC014, 5000682
50_ADC014, 5000774
50_ADC015, 5000509
50_ADC015, 5000510
50_ADC015, 5000552
50_ADC015, 5000631
50_ADC015, 5000677
50_ADC015, 5000678
50_ADC015, 5000679
50_ADC015, 5000720
50_ADC015, 5000760 
50_ADC016, 5000507
50_ADC016, 5000512
50_ADC016, 5000540
50_ADC016, 5000542
50_ADC016, 5000575
50_ADC016, 5000586
50_ADC016, 5000589
50_ADC016, 5000629
50_ADC016, 5000630
50_ADC016, 5000641
50_ADC016, 5000647
50_ADC016, 5000711
50_ADC016, 5000738
50_ADC016, 5000739
50_ADC020, 5000566
50_ADC020, 5000651
50_ADC020, 5000755
50_ADC020, 5101274
50_ADC020, 5300694
50_ADC020, 5300816
50_ADC020, 5301068
50_ADC020, 5301144
51_ADC001, 5100580
51_ADC001, 5100663
51_ADC001, 5100703
51_ADC001, 5100707
51_ADC001, 5100768
51_ADC001, 5100833
51_ADC001, 5100841
51_ADC001, 5100906
51_ADC001, 5100974
51_ADC001, 5101048
51_ADC001, 5101120
51_ADC001, 5101315
51_ADC002, 5100596
51_ADC002, 5100742
51_ADC002, 5100818
51_ADC002, 5100819
51_ADC002, 5100847
51_ADC002, 5100921
51_ADC002, 5100930
51_ADC002, 5100962
51_ADC002, 5100987
51_ADC003, 5100513
51_ADC003, 5100606
51_ADC003, 5100681
51_ADC003, 5100708
51_ADC003, 5100727
51_ADC003, 5100767
51_ADC004, 5100504
51_ADC004, 5100592
51_ADC004, 5100635
51_ADC004, 5100661
51_ADC004, 5100701
51_ADC004, 5100729
51_ADC004, 5100836
51_ADC004, 5100888
51_ADC004, 5100936
51_ADC004, 5100971
51_ADC005, 5100521
51_ADC005, 5100522
51_ADC005, 5100554
51_ADC005, 5100555
51_ADC005, 5100556
51_ADC005, 5100557
51_ADC005, 5100559
51_ADC005, 5100560
51_ADC005, 5100561
51_ADC005, 5100579
51_ADC005, 5100586
51_ADC005, 5100614
51_ADC005, 5100616
51_ADC005, 5100650
51_ADC005, 5100651
51_ADC005, 5100652
51_ADC005, 5100693
51_ADC005, 5100696
51_ADC005, 5100697
51_ADC005, 5100710
51_ADC005, 5100714
51_ADC005, 5100779
51_ADC005, 5100815
51_ADC005, 5100820
51_ADC005, 5100863
51_ADC005, 5100864
51_ADC005, 5100865
51_ADC006, 5100602
51_ADC006, 5100665
51_ADC006, 5100677
51_ADC006, 5100735
51_ADC006, 5100806
51_ADC006, 5100807
51_ADC006, 5100923
51_ADC006, 5101286
51_ADC006, 5101294
51_ADC006, 5101347
51_ADC006, 5101367
51_ADC007, 5100512
51_ADC007, 5100603
51_ADC007, 5100718
51_ADC007, 5100764
51_ADC007, 5100787
51_ADC007, 5100791
51_ADC007, 5100817
51_ADC007, 5100853
51_ADC007, 5100854
51_ADC007, 5100855
51_ADC007, 5100950
51_ADC007, 5100963
51_ADC007, 5100986
51_ADC007, 5101076
51_ADC007, 5101172
51_ADC007, 5101329
51_ADC008, 5100508
51_ADC008, 5100558
51_ADC008, 5100563
51_ADC008, 5100566
51_ADC008, 5100608
51_ADC008, 5100747
51_ADC008, 5100783
51_ADC008, 5100845
51_ADC008, 5100846
51_ADC008, 5100856
51_ADC008, 5100889
51_ADC008, 5100890
51_ADC008, 5100903
51_ADC008, 5100938
51_ADC008, 5100954
51_ADC008, 5100966
51_ADC008, 5100967
51_ADC009, 5100514
51_ADC009, 5100516
51_ADC009, 5100539
51_ADC009, 5100624
51_ADC009, 5100667
51_ADC009, 5100689
51_ADC009, 5100741
51_ADC009, 5100760
51_ADC009, 5100786
51_ADC009, 5100823
51_ADC009, 5100875
51_ADC009, 5100955
51_ADC010, 5100518
51_ADC010, 5100525
51_ADC010, 5100526
51_ADC010, 5100545
51_ADC010, 5100587
51_ADC010, 5100588
51_ADC010, 5100600
51_ADC010, 5100737
51_ADC010, 5100769
51_ADC010, 5100770
51_ADC010, 5100771
51_ADC010, 5100784
51_ADC010, 5100824
51_ADC010, 5100825
51_ADC010, 5100860
51_ADC010, 5100861
51_ADC010, 5100866
51_ADC010, 5100885
51_ADC010, 5100937
51_ADC010, 5100972
51_ADC011, 5100503
51_ADC011, 5100599
51_ADC011, 5100628
51_ADC011, 5100668
51_ADC011, 5100715
51_ADC011, 5100716
51_ADC011, 5100850
51_ADC011, 5100851
51_ADC011, 5100869
51_ADC011, 5100871
51_ADC011, 5100872
51_ADC011, 5100949
51_ADC011, 5100951
51_ADC011, 5100956
52_ADC021, 5200500
52_ADC021, 5200505
52_ADC021, 5200514
52_ADC021, 5200515
52_ADC021, 5200516
52_ADC021, 5200517
52_ADC021, 5200524
52_ADC021, 5200530
52_ADC021, 5200531
52_ADC021, 5200539
52_ADC021, 5200540
52_ADC021, 5200545
52_ADC021, 5200551
52_ADC021, 5200552
52_ADC021, 5200561
52_ADC021, 5200563
52_ADC021, 5200566
52_ADC021, 5200583
52_ADC021, 5200587
52_ADC021, 5200588
52_ADC021, 5200589
52_ADC021, 5200591
52_ADC021, 5200593
52_ADC021, 5200598
52_ADC021, 5200599
52_ADC021, 5200607
52_ADC021, 5200608
52_ADC021, 5200610
52_ADC021, 5200612
52_ADC021, 5200621
52_ADC021, 5200624
52_ADC021, 5200627
52_ADC021, 5200629
52_ADC021, 5200640
52_ADC021, 5200648
52_ADC021, 5200660
52_ADC021, 5200692
52_ADC021, 5200702
52_ADC021, 5200741
52_ADC021, 5200742
52_ADC021, 5200743
52_ADC021, 5200745
52_ADC021, 5200869
52_ADC021, 5300508
52_ADC021, 5300513
52_ADC021, 5300526
52_ADC021, 5300620
52_ADC021, 5300637
52_ADC021, 5300695
52_ADC021, 5300713
52_ADC021, 5300714
52_ADC021, 5300749
52_ADC021, 5300758
52_ADC021, 5300759
52_ADC021, 5300848
52_ADC021, 5300873
52_ADC021, 5300891
52_ADC027, 5200526
52_ADC027, 5200527
52_ADC027, 5200528
52_ADC027, 5200529
52_ADC027, 5200532
52_ADC027, 5200534
52_ADC027, 5200536
52_ADC027, 5200544
52_ADC027, 5200632
52_ADC027, 5200633
52_ADC027, 5200653
52_ADC027, 5200665
52_ADC027, 5200666
52_ADC027, 5200729
52_ADC027, 5200730
52_ADC027, 5200750
52_ADC027, 5300627
53_ADC022, 5300532
53_ADC022, 5300603
53_ADC022, 5300648
53_ADC022, 5300682
53_ADC022, 5300829
53_ADC022, 5300879
53_ADC022, 5301019
53_ADC022, 5301020
53_ADC022, 5301160
53_ADC023, 5300518
53_ADC023, 5300596
53_ADC023, 5300660
53_ADC023, 5300702
53_ADC023, 5300729
53_ADC023, 5300732
53_ADC023, 5300735
53_ADC023, 5300825
53_ADC024, 5300571
53_ADC023, 5300664
53_ADC023, 5300760
53_ADC023, 5300763
53_ADC023, 5300791
53_ADC023, 5300885
53_ADC023, 5300887
53_ADC023, 5304715
53_ADC023, 5305000
53_ADC025, 5300534
53_ADC025, 5300639
53_ADC025, 5300653
53_ADC025, 5300722
53_ADC025, 5300723
53_ADC025, 5300835
53_ADC025, 5300878
53_ADC025, 5301034
53_ADC025, 5301083
53_ADC025, 5301137
53_ADC026, 5200652
53_ADC026, 5300557
53_ADC026, 5300569
53_ADC026, 5300570
53_ADC026, 5300592
53_ADC026, 5300628
53_ADC026, 5300629
53_ADC026, 5300647
53_ADC026, 5300649
53_ADC026, 5300666
53_ADC026, 5300668
53_ADC026, 5300680
53_ADC026, 5300698
53_ADC026, 5300703
53_ADC026, 5300746
53_ADC026, 5300761
53_ADC026, 5300785
53_ADC026, 5300831
53_ADC026, 5300886
53_ADC026, 5301069
53_ADC026, 5301131
53_ADC026, 5301172
53_ADC028, 5300510
53_ADC028, 5300511
53_ADC028, 5300522
53_ADC028, 5300528
53_ADC028, 5300539
53_ADC028, 5300546
53_ADC028, 5300559
53_ADC028, 5300626
53_ADC028, 5300677
53_ADC028, 5300679
53_ADC028, 5300683
53_ADC028, 5300701
53_ADC028, 5300745
53_ADC028, 5300790
53_ADC028, 5300820
53_ADC028, 5300822
53_ADC028, 5300830
53_ADC028, 5300869
53_ADC028, 5301014
53_ADC028, 5301039
53_ADC028, 5301040
53_ADC032, 3700503
53_ADC028, 5200502
53_ADC028, 5200503
53_ADC028, 5200518
53_ADC028, 5200519
53_ADC028, 5200543
53_ADC028, 5200546
53_ADC028, 5200590
53_ADC028, 5200617
53_ADC028, 5200643
53_ADC028, 5200644
53_ADC028, 5200645
53_ADC028, 5200647
53_ADC028, 5200661
53_ADC028, 5200711
53_ADC028, 5200720
53_ADC028, 5200721
53_ADC028, 5200763
53_ADC028, 5300501
53_ADC028, 5300502
53_ADC028, 5300503
53_ADC028, 5300529
53_ADC028, 5300530
53_ADC028, 5300542
53_ADC028, 5300543
53_ADC028, 5300544
53_ADC028, 5300549
53_ADC028, 5300553
53_ADC028, 5300554
53_ADC028, 5300566
53_ADC028, 5300579
53_ADC028, 5300580
53_ADC028, 5300586
53_ADC028, 5300597
53_ADC028, 5300598
53_ADC028, 5300600
53_ADC028, 5300638
53_ADC028, 5300662
53_ADC028, 5300687
53_ADC028, 5300688
